lead_id,lead_date,campaign_name,channel,lead_source,age,age_group,gender,status,touchpoints,cost_per_lead,revenue,days_to_conversion,product_purchased,season,month,year,quarter,year_quarter,month_short,touchpoint_band
L1019,2024-11-05,Summer_Blast,Google Search,Direct,31,25-34,Female,New Lead,7,66.62,0.0,0,,Fall,November,2024,Q4,2024Q4,Nov,7–9
L1020,2023-12-14,Spring_Promo,YouTube,Organic,19,18-24,Male,Nurturing,2,61.01,0.0,0,,Winter,December,2023,Q4,2023Q4,Dec,1–3
L1021,2023-10-13,Summer_Blast,Email,Direct,32,25-34,Male,Nurturing,2,21.25,0.0,0,,Fall,October,2023,Q4,2023Q4,Oct,1–3
L1022,2023-08-31,Spring_Promo,YouTube,Organic,21,18-24,Male,Lost,8,48.33,0.0,0,,Summer,August,2023,Q3,2023Q3,Aug,7–9
L1023,2024-02-04,Black_Friday,Instagram,Paid Ads,49,45-54,Female,New Lead,8,40.3,0.0,0,,Winter,February,2024,Q1,2024Q1,Feb,7–9
L1024,2023-08-11,Summer_Blast,YouTube,Direct,56,55+,Female,New Lead,10,64.37,0.0,0,,Summer,August,2023,Q3,2023Q3,Aug,10–12
L1025,2024-06-27,Year_End_Push,Instagram,Direct,18,18-24,Male,Lost,9,38.15,0.0,0,,Summer,June,2024,Q2,2024Q2,Jun,7–9
L1026,2024-02-18,New_Year_Launch,Email,Organic,22,18-24,Male,Converted,10,14.4,1607.97,77,Digital Ads Package,Winter,February,2024,Q1,2024Q1,Feb,10–12
L1027,2023-11-18,Back_to_School,YouTube,Referral,47,45-54,Female,Qualified,7,49.77,0.0,0,,Fall,November,2023,Q4,2023Q4,Nov,7–9
L1028,2024-07-30,Spring_Promo,Facebook,Organic,53,45-54,Male,Nurturing,2,61.92,0.0,0,,Summer,July,2024,Q3,2024Q3,Jul,1–3
L1029,2023-09-08,Back_to_School,Facebook,Paid Ads,55,55+,Female,Converted,3,49.39,2471.83,70,Social Media Manager,Fall,September,2023,Q3,2023Q3,Sep,1–3
L1030,2024-07-20,Spring_Promo,TikTok,Referral,23,18-24,Female,Converted,5,31.11,3221.73,44,Brand Analytics Suite,Summer,July,2024,Q3,2024Q3,Jul,4–6
L1031,2024-03-09,Spring_Promo,Google Search,Referral,55,55+,Female,New Lead,1,74.59,0.0,0,,Spring,March,2024,Q1,2024Q1,Mar,1–3
L1032,2024-07-18,Summer_Blast,YouTube,Referral,33,25-34,Male,Converted,9,59.11,543.51,10,Brand Analytics Suite,Summer,July,2024,Q3,2024Q3,Jul,7–9
L1033,2023-11-12,Black_Friday,Email,Paid Ads,40,35-44,Male,New Lead,1,19.29,0.0,0,,Fall,November,2023,Q4,2023Q4,Nov,1–3
L1034,2024-02-21,Back_to_School,YouTube,Organic,27,25-34,Female,Converted,12,64.48,1195.49,31,Brand Analytics Suite,Winter,February,2024,Q1,2024Q1,Feb,10–12
L1035,2023-09-12,Black_Friday,TikTok,Referral,19,18-24,Male,Converted,12,33.34,986.43,5,SEO Pro,Fall,September,2023,Q3,2023Q3,Sep,10–12
L1036,2024-11-06,Summer_Blast,Facebook,Referral,49,45-54,Male,Qualified,6,45.86,0.0,0,,Fall,November,2024,Q4,2024Q4,Nov,4–6
L1037,2024-07-03,New_Year_Launch,Facebook,Direct,36,35-44,Female,Lost,1,48.62,0.0,0,,Summer,July,2024,Q3,2024Q3,Jul,1–3
L1038,2024-03-20,Spring_Promo,Email,Referral,31,25-34,Male,New Lead,6,18.91,0.0,0,,Spring,March,2024,Q1,2024Q1,Mar,4–6
L1039,2024-03-22,Back_to_School,Email,Paid Ads,48,45-54,Female,New Lead,9,12.03,0.0,0,,Spring,March,2024,Q1,2024Q1,Mar,7–9
L1040,2023-05-08,Year_End_Push,Instagram,Referral,53,45-54,Female,Qualified,5,49.4,0.0,0,,Spring,May,2023,Q2,2023Q2,May,4–6
L1041,2023-05-11,New_Year_Launch,Facebook,Direct,51,45-54,Male,Qualified,11,45.84,0.0,0,,Spring,May,2023,Q2,2023Q2,May,10–12
L1042,2023-01-01,Black_Friday,Email,Referral,68,55+,Female,Nurturing,4,18.08,0.0,0,,Winter,January,2023,Q1,2023Q1,Jan,4–6
L1043,2024-04-29,New_Year_Launch,Google Search,Direct,47,45-54,Male,Qualified,12,73.87,0.0,0,,Spring,April,2024,Q2,2024Q2,Apr,10–12
L1044,2023-08-29,Spring_Promo,Email,Referral,35,35-44,Male,Converted,4,25.46,4129.53,19,Digital Ads Package,Summer,August,2023,Q3,2023Q3,Aug,4–6
L1045,2024-10-06,Black_Friday,Email,Organic,51,45-54,Female,Nurturing,12,23.51,0.0,0,,Fall,October,2024,Q4,2024Q4,Oct,10–12
L1046,2023-04-20,New_Year_Launch,TikTok,Paid Ads,52,45-54,Male,Converted,4,43.57,1291.49,90,CRM Integration,Spring,April,2023,Q2,2023Q2,Apr,4–6
L1047,2024-04-20,Black_Friday,TikTok,Organic,65,55+,Female,New Lead,9,41.35,0.0,0,,Spring,April,2024,Q2,2024Q2,Apr,7–9
L1048,2023-06-12,Year_End_Push,YouTube,Direct,69,55+,Female,Nurturing,8,59.87,0.0,0,,Summer,June,2023,Q2,2023Q2,Jun,7–9
L1049,2023-09-02,Year_End_Push,YouTube,Referral,29,25-34,Male,Nurturing,2,50.49,0.0,0,,Fall,September,2023,Q3,2023Q3,Sep,1–3
L1050,2023-06-04,Year_End_Push,Facebook,Referral,37,35-44,Male,New Lead,12,46.63,0.0,0,,Summer,June,2023,Q2,2023Q2,Jun,10–12
L1051,2024-03-01,Back_to_School,Google Search,Direct,21,18-24,Male,Nurturing,7,59.25,0.0,0,,Spring,March,2024,Q1,2024Q1,Mar,7–9
L1052,2023-11-02,Spring_Promo,Google Search,Direct,62,55+,Female,Lost,7,73.07,0.0,0,,Fall,November,2023,Q4,2023Q4,Nov,7–9
L1053,2023-12-11,Black_Friday,Facebook,Direct,27,25-34,Female,New Lead,7,55.38,0.0,0,,Winter,December,2023,Q4,2023Q4,Dec,7–9
L1054,2024-11-09,Black_Friday,Email,Organic,31,25-34,Male,Nurturing,11,12.54,0.0,0,,Fall,November,2024,Q4,2024Q4,Nov,10–12
L1055,2023-08-05,Back_to_School,TikTok,Organic,51,45-54,Female,Qualified,6,37.09,0.0,0,,Summer,August,2023,Q3,2023Q3,Aug,4–6
L1056,2024-07-06,Black_Friday,Facebook,Organic,48,45-54,Male,New Lead,6,43.04,0.0,0,,Summer,July,2024,Q3,2024Q3,Jul,4–6
L1057,2024-09-28,Summer_Blast,Instagram,Paid Ads,19,18-24,Female,Converted,3,38.05,2631.02,15,CRM Integration,Fall,September,2024,Q3,2024Q3,Sep,1–3
L1058,2023-04-28,Year_End_Push,Facebook,Paid Ads,39,35-44,Male,Nurturing,3,57.56,0.0,0,,Spring,April,2023,Q2,2023Q2,Apr,1–3
L1059,2024-01-20,Year_End_Push,Instagram,Referral,58,55+,Female,Converted,12,42.93,1392.48,76,Brand Analytics Suite,Winter,January,2024,Q1,2024Q1,Jan,10–12
L1060,2024-11-08,Back_to_School,Instagram,Organic,65,55+,Male,Nurturing,9,42.41,0.0,0,,Fall,November,2024,Q4,2024Q4,Nov,7–9
L1061,2024-10-12,Black_Friday,Google Search,Organic,47,45-54,Female,Lost,8,75.83,0.0,0,,Fall,October,2024,Q4,2024Q4,Oct,7–9
L1062,2024-07-05,Year_End_Push,YouTube,Referral,30,25-34,Male,Converted,8,60.49,2460.09,76,Social Media Manager,Summer,July,2024,Q3,2024Q3,Jul,7–9
L1063,2024-08-06,Summer_Blast,Facebook,Direct,19,18-24,Female,Converted,7,54.21,2013.78,64,Social Media Manager,Summer,August,2024,Q3,2024Q3,Aug,7–9
L1064,2024-09-02,Back_to_School,Facebook,Referral,33,25-34,Male,Qualified,5,56.02,0.0,0,,Fall,September,2024,Q3,2024Q3,Sep,4–6
L1065,2024-05-15,Summer_Blast,TikTok,Organic,69,55+,Male,Converted,4,39.1,3607.74,83,SEO Pro,Spring,May,2024,Q2,2024Q2,May,4–6
L1066,2023-11-10,Black_Friday,Facebook,Paid Ads,21,18-24,Female,Converted,6,55.28,2629.67,68,Social Media Manager,Fall,November,2023,Q4,2023Q4,Nov,4–6
L1067,2023-08-25,Back_to_School,YouTube,Direct,40,35-44,Male,Qualified,4,47.41,0.0,0,,Summer,August,2023,Q3,2023Q3,Aug,4–6
L1068,2024-05-10,Summer_Blast,YouTube,Paid Ads,64,55+,Male,Qualified,10,50.53,0.0,0,,Spring,May,2024,Q2,2024Q2,May,10–12
L1069,2023-01-15,Back_to_School,Facebook,Paid Ads,29,25-34,Male,New Lead,3,56.16,0.0,0,,Winter,January,2023,Q1,2023Q1,Jan,1–3
L1070,2024-10-15,New_Year_Launch,Email,Referral,18,18-24,Male,Lost,8,29.37,0.0,0,,Fall,October,2024,Q4,2024Q4,Oct,7–9
L1071,2023-07-08,Black_Friday,Facebook,Direct,70,55+,Male,Nurturing,5,61.31,0.0,0,,Summer,July,2023,Q3,2023Q3,Jul,4–6
L1072,2024-12-03,Spring_Promo,Google Search,Direct,24,18-24,Female,Nurturing,3,59.07,0.0,0,,Winter,December,2024,Q4,2024Q4,Dec,1–3
L1073,2024-09-12,Year_End_Push,TikTok,Organic,21,18-24,Female,Converted,10,39.92,1515.59,67,SEO Pro,Fall,September,2024,Q3,2024Q3,Sep,10–12
L1074,2023-03-03,Back_to_School,Email,Direct,36,35-44,Male,Nurturing,12,24.19,0.0,0,,Spring,March,2023,Q1,2023Q1,Mar,10–12
L1075,2024-07-19,Summer_Blast,Facebook,Organic,31,25-34,Female,Qualified,1,43.5,0.0,0,,Summer,July,2024,Q3,2024Q3,Jul,1–3
L1076,2024-12-24,Spring_Promo,Google Search,Referral,57,55+,Male,Qualified,8,63.65,0.0,0,,Winter,December,2024,Q4,2024Q4,Dec,7–9
L1077,2023-08-19,Black_Friday,YouTube,Paid Ads,37,35-44,Male,New Lead,5,57.95,0.0,0,,Summer,August,2023,Q3,2023Q3,Aug,4–6
L1078,2024-08-05,Year_End_Push,TikTok,Referral,23,18-24,Female,Converted,8,46.42,1059.59,89,Social Media Manager,Summer,August,2024,Q3,2024Q3,Aug,7–9
L1079,2023-02-10,Black_Friday,Email,Direct,40,35-44,Female,New Lead,12,29.79,0.0,0,,Winter,February,2023,Q1,2023Q1,Feb,10–12
L1080,2024-08-12,New_Year_Launch,Instagram,Paid Ads,22,18-24,Male,Converted,1,46.74,4998.08,87,Social Media Manager,Summer,August,2024,Q3,2024Q3,Aug,1–3
L1081,2024-08-22,Back_to_School,Google Search,Direct,26,25-34,Female,New Lead,8,66.72,0.0,0,,Summer,August,2024,Q3,2024Q3,Aug,7–9
L1082,2023-06-14,Back_to_School,Google Search,Referral,43,35-44,Male,Converted,12,64.6,2729.61,85,SEO Pro,Summer,June,2023,Q2,2023Q2,Jun,10–12
L1083,2024-02-18,Back_to_School,Instagram,Referral,53,45-54,Female,Qualified,1,52.3,0.0,0,,Winter,February,2024,Q1,2024Q1,Feb,1–3
L1084,2024-05-25,Year_End_Push,Instagram,Paid Ads,48,45-54,Female,Qualified,1,47.51,0.0,0,,Spring,May,2024,Q2,2024Q2,May,1–3
L1085,2024-05-11,Black_Friday,TikTok,Referral,64,55+,Male,Converted,11,30.43,3239.92,31,Brand Analytics Suite,Spring,May,2024,Q2,2024Q2,May,10–12
L1086,2023-04-27,Summer_Blast,Google Search,Organic,59,55+,Female,Lost,2,67.23,0.0,0,,Spring,April,2023,Q2,2023Q2,Apr,1–3
L1087,2024-04-28,Black_Friday,Email,Referral,43,35-44,Male,Converted,9,16.87,1150.89,25,CRM Integration,Spring,April,2024,Q2,2024Q2,Apr,7–9
L1088,2024-06-03,Back_to_School,Facebook,Direct,20,18-24,Female,Lost,1,47.34,0.0,0,,Summer,June,2024,Q2,2024Q2,Jun,1–3
L1089,2024-05-10,Summer_Blast,Email,Direct,67,55+,Female,Nurturing,9,18.9,0.0,0,,Spring,May,2024,Q2,2024Q2,May,7–9
L1090,2024-02-25,Year_End_Push,TikTok,Paid Ads,42,35-44,Female,Qualified,12,28.87,0.0,0,,Winter,February,2024,Q1,2024Q1,Feb,10–12
L1091,2023-05-10,Black_Friday,YouTube,Paid Ads,50,45-54,Male,Lost,10,55.05,0.0,0,,Spring,May,2023,Q2,2023Q2,May,10–12
L1092,2024-02-24,Spring_Promo,Instagram,Direct,54,45-54,Female,Converted,3,52.42,836.73,34,Social Media Manager,Winter,February,2024,Q1,2024Q1,Feb,1–3
L1093,2024-05-14,Back_to_School,Facebook,Direct,22,18-24,Male,Nurturing,1,59.45,0.0,0,,Spring,May,2024,Q2,2024Q2,May,1–3
L1094,2024-03-20,Summer_Blast,YouTube,Referral,27,25-34,Female,Converted,11,64.57,3667.51,13,SEO Pro,Spring,March,2024,Q1,2024Q1,Mar,10–12
L1095,2024-01-19,Spring_Promo,Instagram,Referral,22,18-24,Female,Qualified,4,43.61,0.0,0,,Winter,January,2024,Q1,2024Q1,Jan,4–6
L1096,2024-09-16,Summer_Blast,YouTube,Paid Ads,62,55+,Female,New Lead,10,62.42,0.0,0,,Fall,September,2024,Q3,2024Q3,Sep,10–12
L1097,2024-04-15,Black_Friday,TikTok,Paid Ads,69,55+,Female,Nurturing,1,33.11,0.0,0,,Spring,April,2024,Q2,2024Q2,Apr,1–3
L1098,2024-08-24,Black_Friday,TikTok,Organic,63,55+,Female,Lost,7,33.98,0.0,0,,Summer,August,2024,Q3,2024Q3,Aug,7–9
L1099,2024-01-26,Black_Friday,TikTok,Direct,39,35-44,Female,New Lead,10,39.44,0.0,0,,Winter,January,2024,Q1,2024Q1,Jan,10–12
L1100,2024-12-03,Back_to_School,YouTube,Direct,22,18-24,Female,New Lead,1,60.57,0.0,0,,Winter,December,2024,Q4,2024Q4,Dec,1–3
L1101,2024-09-27,Summer_Blast,TikTok,Referral,37,35-44,Male,Nurturing,12,33.01,0.0,0,,Fall,September,2024,Q3,2024Q3,Sep,10–12
L1102,2023-05-15,Spring_Promo,Facebook,Direct,20,18-24,Female,Nurturing,5,43.8,0.0,0,,Spring,May,2023,Q2,2023Q2,May,4–6
L1103,2024-01-10,Year_End_Push,TikTok,Paid Ads,29,25-34,Female,Converted,5,38.62,4237.13,33,SEO Pro,Winter,January,2024,Q1,2024Q1,Jan,4–6
L1104,2023-08-20,Summer_Blast,Google Search,Organic,20,18-24,Male,Converted,12,75.2,3534.83,51,CRM Integration,Summer,August,2023,Q3,2023Q3,Aug,10–12
L1105,2024-01-13,Year_End_Push,Instagram,Referral,49,45-54,Female,New Lead,11,48.46,0.0,0,,Winter,January,2024,Q1,2024Q1,Jan,10–12
L1106,2024-07-28,Black_Friday,Instagram,Paid Ads,38,35-44,Male,New Lead,10,41.56,0.0,0,,Summer,July,2024,Q3,2024Q3,Jul,10–12
L1107,2023-05-24,New_Year_Launch,YouTube,Referral,49,45-54,Female,Nurturing,1,45.91,0.0,0,,Spring,May,2023,Q2,2023Q2,May,1–3
L1108,2024-04-09,Year_End_Push,Instagram,Paid Ads,23,18-24,Female,New Lead,12,42.42,0.0,0,,Spring,April,2024,Q2,2024Q2,Apr,10–12
L1109,2024-05-16,Black_Friday,YouTube,Paid Ads,69,55+,Female,Converted,5,57.31,647.22,48,Brand Analytics Suite,Spring,May,2024,Q2,2024Q2,May,4–6
L1110,2024-10-22,New_Year_Launch,Facebook,Organic,29,25-34,Male,Qualified,7,49.17,0.0,0,,Fall,October,2024,Q4,2024Q4,Oct,7–9
L1111,2024-10-16,New_Year_Launch,Google Search,Organic,18,18-24,Female,Qualified,1,69.94,0.0,0,,Fall,October,2024,Q4,2024Q4,Oct,1–3
L1112,2024-07-21,Spring_Promo,TikTok,Paid Ads,27,25-34,Male,Converted,4,32.14,4158.74,30,Social Media Manager,Summer,July,2024,Q3,2024Q3,Jul,4–6
L1113,2023-06-28,Year_End_Push,TikTok,Paid Ads,37,35-44,Male,Qualified,1,30.2,0.0,0,,Summer,June,2023,Q2,2023Q2,Jun,1–3
L1114,2023-02-23,Spring_Promo,TikTok,Referral,43,35-44,Male,New Lead,7,30.54,0.0,0,,Winter,February,2023,Q1,2023Q1,Feb,7–9
L1115,2023-04-22,Back_to_School,Google Search,Direct,22,18-24,Male,Nurturing,4,67.04,0.0,0,,Spring,April,2023,Q2,2023Q2,Apr,4–6
L1116,2023-03-04,New_Year_Launch,Facebook,Direct,68,55+,Male,Lost,7,61.97,0.0,0,,Spring,March,2023,Q1,2023Q1,Mar,7–9
L1117,2023-11-26,Spring_Promo,YouTube,Direct,53,45-54,Female,Converted,2,57.17,1067.86,80,CRM Integration,Fall,November,2023,Q4,2023Q4,Nov,1–3
L1118,2024-03-16,Black_Friday,Email,Referral,46,45-54,Male,Nurturing,12,13.98,0.0,0,,Spring,March,2024,Q1,2024Q1,Mar,10–12
L1119,2024-04-09,Black_Friday,Google Search,Paid Ads,46,45-54,Female,Qualified,12,65.97,0.0,0,,Spring,April,2024,Q2,2024Q2,Apr,10–12
L1120,2024-12-04,Back_to_School,Facebook,Referral,46,45-54,Male,Lost,2,60.46,0.0,0,,Winter,December,2024,Q4,2024Q4,Dec,1–3
L1121,2023-05-14,New_Year_Launch,Google Search,Organic,23,18-24,Male,Converted,10,69.13,4804.81,72,Social Media Manager,Spring,May,2023,Q2,2023Q2,May,10–12
L1122,2023-10-22,New_Year_Launch,Facebook,Direct,46,45-54,Male,New Lead,6,54.01,0.0,0,,Fall,October,2023,Q4,2023Q4,Oct,4–6
L1123,2023-12-25,Summer_Blast,YouTube,Direct,28,25-34,Female,Converted,6,61.91,1016.98,36,CRM Integration,Winter,December,2023,Q4,2023Q4,Dec,4–6
L1124,2024-12-11,Year_End_Push,Email,Organic,63,55+,Female,Lost,3,17.35,0.0,0,,Winter,December,2024,Q4,2024Q4,Dec,1–3
L1125,2024-08-02,Summer_Blast,Facebook,Organic,36,35-44,Male,Converted,2,55.15,1138.44,82,Digital Ads Package,Summer,August,2024,Q3,2024Q3,Aug,1–3
L1126,2023-11-16,Back_to_School,Google Search,Direct,54,45-54,Male,New Lead,10,72.43,0.0,0,,Fall,November,2023,Q4,2023Q4,Nov,10–12
L1127,2023-03-25,Year_End_Push,TikTok,Paid Ads,21,18-24,Female,New Lead,11,33.44,0.0,0,,Spring,March,2023,Q1,2023Q1,Mar,10–12
L1128,2024-06-08,Back_to_School,Google Search,Direct,58,55+,Female,Qualified,7,60.28,0.0,0,,Summer,June,2024,Q2,2024Q2,Jun,7–9
L1129,2024-09-05,Spring_Promo,Google Search,Referral,64,55+,Male,Qualified,4,59.1,0.0,0,,Fall,September,2024,Q3,2024Q3,Sep,4–6
L1130,2024-05-24,Back_to_School,Facebook,Referral,27,25-34,Female,New Lead,3,56.94,0.0,0,,Spring,May,2024,Q2,2024Q2,May,1–3
L1131,2024-11-15,Year_End_Push,YouTube,Paid Ads,67,55+,Male,Nurturing,2,61.12,0.0,0,,Fall,November,2024,Q4,2024Q4,Nov,1–3
L1132,2024-08-12,Spring_Promo,Instagram,Direct,46,45-54,Female,Converted,7,43.59,3692.75,54,Social Media Manager,Summer,August,2024,Q3,2024Q3,Aug,7–9
L1133,2024-12-07,Year_End_Push,Facebook,Paid Ads,21,18-24,Male,Nurturing,2,60.4,0.0,0,,Winter,December,2024,Q4,2024Q4,Dec,1–3
L1134,2023-11-14,Year_End_Push,Google Search,Direct,30,25-34,Male,New Lead,4,72.92,0.0,0,,Fall,November,2023,Q4,2023Q4,Nov,4–6
L1135,2023-12-24,Year_End_Push,Email,Organic,24,18-24,Male,Nurturing,11,19.02,0.0,0,,Winter,December,2023,Q4,2023Q4,Dec,10–12
L1136,2024-09-08,Back_to_School,Instagram,Paid Ads,26,25-34,Male,New Lead,11,38.06,0.0,0,,Fall,September,2024,Q3,2024Q3,Sep,10–12
L1137,2024-08-01,New_Year_Launch,Google Search,Direct,50,45-54,Female,Lost,10,70.86,0.0,0,,Summer,August,2024,Q3,2024Q3,Aug,10–12
L1138,2023-11-07,Black_Friday,Google Search,Organic,25,25-34,Female,Nurturing,10,73.93,0.0,0,,Fall,November,2023,Q4,2023Q4,Nov,10–12
L1139,2023-02-28,Black_Friday,Instagram,Referral,57,55+,Male,Nurturing,5,42.37,0.0,0,,Winter,February,2023,Q1,2023Q1,Feb,4–6
L1140,2023-02-12,Black_Friday,Email,Direct,61,55+,Female,Nurturing,10,20.99,0.0,0,,Winter,February,2023,Q1,2023Q1,Feb,10–12
L1141,2023-12-18,Spring_Promo,Google Search,Paid Ads,60,55+,Male,Nurturing,2,77.65,0.0,0,,Winter,December,2023,Q4,2023Q4,Dec,1–3
L1142,2024-09-16,Black_Friday,YouTube,Direct,29,25-34,Female,Nurturing,6,48.17,0.0,0,,Fall,September,2024,Q3,2024Q3,Sep,4–6
L1143,2023-03-09,New_Year_Launch,Facebook,Organic,51,45-54,Female,Nurturing,9,48.59,0.0,0,,Spring,March,2023,Q1,2023Q1,Mar,7–9
L1144,2024-11-10,Back_to_School,YouTube,Paid Ads,39,35-44,Female,New Lead,6,47.83,0.0,0,,Fall,November,2024,Q4,2024Q4,Nov,4–6
L1145,2024-10-20,Back_to_School,Email,Organic,33,25-34,Male,Nurturing,3,27.83,0.0,0,,Fall,October,2024,Q4,2024Q4,Oct,1–3
L1146,2023-07-04,Spring_Promo,Email,Referral,52,45-54,Male,Qualified,6,31.02,0.0,0,,Summer,July,2023,Q3,2023Q3,Jul,4–6
L1147,2023-04-14,Spring_Promo,TikTok,Paid Ads,33,25-34,Male,Qualified,9,38.15,0.0,0,,Spring,April,2023,Q2,2023Q2,Apr,7–9
L1148,2023-06-16,Year_End_Push,Email,Paid Ads,44,35-44,Male,Qualified,12,15.62,0.0,0,,Summer,June,2023,Q2,2023Q2,Jun,10–12
L1149,2023-09-01,Back_to_School,Instagram,Direct,53,45-54,Male,Converted,10,54.39,1782.18,58,Brand Analytics Suite,Fall,September,2023,Q3,2023Q3,Sep,10–12
L1150,2024-08-07,Back_to_School,Google Search,Paid Ads,43,35-44,Female,Converted,8,77.69,3962.47,49,CRM Integration,Summer,August,2024,Q3,2024Q3,Aug,7–9
L1151,2024-05-07,Back_to_School,TikTok,Paid Ads,26,25-34,Male,New Lead,9,45.48,0.0,0,,Spring,May,2024,Q2,2024Q2,May,7–9
L1152,2024-06-09,Back_to_School,Instagram,Paid Ads,36,35-44,Male,Nurturing,7,37.95,0.0,0,,Summer,June,2024,Q2,2024Q2,Jun,7–9
L1153,2024-05-29,Black_Friday,Facebook,Organic,46,45-54,Female,New Lead,7,49.48,0.0,0,,Spring,May,2024,Q2,2024Q2,May,7–9
L1154,2024-10-27,Spring_Promo,Instagram,Referral,27,25-34,Female,Converted,3,41.71,1119.2,37,SEO Pro,Fall,October,2024,Q4,2024Q4,Oct,1–3
L1155,2023-08-09,Spring_Promo,Email,Organic,54,45-54,Female,New Lead,9,28.7,0.0,0,,Summer,August,2023,Q3,2023Q3,Aug,7–9
L1156,2023-09-02,Back_to_School,Facebook,Paid Ads,21,18-24,Male,New Lead,10,50.4,0.0,0,,Fall,September,2023,Q3,2023Q3,Sep,10–12
L1157,2023-09-05,New_Year_Launch,Google Search,Organic,21,18-24,Male,Nurturing,5,72.37,0.0,0,,Fall,September,2023,Q3,2023Q3,Sep,4–6
L1158,2024-11-11,Year_End_Push,Facebook,Paid Ads,66,55+,Male,Nurturing,9,55.36,0.0,0,,Fall,November,2024,Q4,2024Q4,Nov,7–9
L1159,2023-02-14,Black_Friday,Email,Organic,57,55+,Female,Converted,6,24.71,1641.43,3,Social Media Manager,Winter,February,2023,Q1,2023Q1,Feb,4–6
L1160,2023-12-07,Year_End_Push,YouTube,Organic,32,25-34,Female,Converted,6,47.67,2957.06,83,Brand Analytics Suite,Winter,December,2023,Q4,2023Q4,Dec,4–6
L1161,2024-04-13,New_Year_Launch,TikTok,Organic,30,25-34,Female,Converted,4,28.74,697.13,26,Digital Ads Package,Spring,April,2024,Q2,2024Q2,Apr,4–6
L1162,2024-10-24,Back_to_School,Google Search,Direct,56,55+,Female,New Lead,6,61.82,0.0,0,,Fall,October,2024,Q4,2024Q4,Oct,4–6
L1163,2024-03-26,Black_Friday,Instagram,Referral,42,35-44,Female,Converted,7,52.89,2025.66,24,SEO Pro,Spring,March,2024,Q1,2024Q1,Mar,7–9
